sweep,gd_cap,half_life,friendly_w,cross_conf_w,shrink_mode,shrink_w,anchor_beta,elo_tau,matches,points,pts_per_match,exact,rps,log_loss
shrinkage,,1095,1.0,2.0,,0.0,0.0,0.0,290,607.0,2.093103448275862,40,0.18840113456546675,2.76716357348564
shrinkage,,1095,1.0,2.0,phantom,0.25,0.0,0.0,290,598.0,2.0620689655172413,41,0.18848776930658748,2.7676324236857397
shrinkage,,1095,1.0,2.0,phantom,0.5,0.0,0.0,290,595.0,2.0517241379310347,41,0.18858824288371875,2.7682469873393103
shrinkage,,1095,1.0,2.0,pseudo,0.25,0.0,0.0,290,587.0,2.024137931034483,39,0.1886411802596577,2.770106344718854
shrinkage,,1095,1.0,2.0,pseudo,0.5,0.0,0.0,290,574.0,1.9793103448275862,40,0.18892382052584444,2.7727332031603127
shrinkage,,1095,1.0,2.0,phantom,1.0,0.0,0.0,290,595.0,2.0517241379310347,40,0.18892456184194517,2.770951944968497
shrinkage,,1095,1.0,2.0,pseudo,1.0,0.0,0.0,290,581.0,2.003448275862069,39,0.1895419611645549,2.7776573319161915
shrinkage,,1095,1.0,2.0,phantom,2.0,0.0,0.0,290,558.0,1.9241379310344828,36,0.18956617851316176,2.7752662728543407
shrinkage,,1095,1.0,2.0,pseudo,2.0,0.0,0.0,290,583.0,2.010344827586207,36,0.19063787813406155,2.7854197123724673
anchor,,1095,1.0,2.0,,0.0,1.0,0.0,290,610.0,2.103448275862069,41,0.18819591153514856,2.766526113549565
anchor,,1095,1.0,2.0,,0.0,0.75,0.0,290,610.0,2.103448275862069,41,0.18824316589794685,2.7666642804889405
anchor,,1095,1.0,2.0,,0.0,0.5,0.0,290,610.0,2.103448275862069,41,0.1882931341205024,2.7668165605835062
anchor,,1095,1.0,2.0,,0.0,0.25,0.0,290,607.0,2.093103448275862,40,0.18834579689322553,2.7669829820394516
anchor,,1095,1.0,2.0,,0.0,0.0,0.0,290,607.0,2.093103448275862,40,0.18840113456546675,2.76716357348564
elo_tau,,1095,1.0,2.0,,0.0,0.0,0.0,290,607.0,2.093103448275862,40,0.18840113456546675,2.76716357348564
elo_tau,,1095,1.0,2.0,,0.0,0.0,0.5,290,604.0,2.0827586206896553,40,0.18851023673036457,2.7688854300249597
elo_tau,,1095,1.0,2.0,,0.0,0.0,1.0,290,606.0,2.089655172413793,40,0.1885610122232949,2.770040567024344
elo_tau,,1095,1.0,2.0,,0.0,0.0,2.0,290,601.0,2.0724137931034483,39,0.18861229135137297,2.7716767887727896
elo_tau,,1095,1.0,2.0,,0.0,0.0,5.0,290,593.0,2.0448275862068965,40,0.18865644831799216,2.774225621150337
elo_tau,,1095,1.0,2.0,,0.0,0.0,10.0,290,600.0,2.0689655172413794,40,0.18881442244596328,2.7774221658162404
